Disease,Combined_Symptoms
(vertigo) Paroymsal  Positional Vertigo,"headache, loss of balance, nausea, spinning movements, unsteadiness, vomiting"
AIDS,"extra marital contacts, high fever, muscle wasting, patches in throat"
Acne,"blackheads, pus filled pimples, scurring, skin rash"
Alcoholic hepatitis,"abdominal pain, distention of abdomen, fluid overload, history of alcohol consumption, swelling of stomach, vomiting, yellowish skin"
Allergy,"chills, continuous sneezing, shivering, watering from eyes"
Arthritis,"decreased range of motion, joint pain, movement stiffness, muscle weakness, painful walking, redness, stiff neck, stiffness, swelling, swelling joints"
Bronchial Asthma,"breathlessness, cough, family history, fatigue, high fever, mucoid sputum"
Cervical spondylosis,"back pain, dizziness, loss of balance, neck pain, weakness in limbs"
Chicken pox,"fatigue, headache, high fever, itching, lethargy, loss of appetite, malaise, mild fever, red spots over body, skin rash, swelled lymph nodes"
Chronic cholestasis,"abdominal pain, itching, loss of appetite, nausea, vomiting, yellowing of eyes, yellowish skin"
Common Cold,"chest pain, chills, congestion, continuous sneezing, cough, fatigue, generally feeling unwell, headache, high fever, loss of smell, low-grade fever, malaise, muscle pain, phlegm, redness of eyes, runny nose, sinus pressure, slight body aches, sneezing, sore throat, swelled lymph nodes, throat irritation"
Dengue,"back pain, chills, fatigue, headache, high fever, joint pain, loss of appetite, malaise, muscle pain, nausea, pain behind the eyes, red spots over body, skin rash, vomiting"
Diabetes ,"blurred and distorted vision, excessive hunger, fatigue, increased appetite, irregular sugar level, lethargy, obesity, polyuria, restlessness, weight loss"
Dimorphic hemmorhoids(piles),"bloody stool, constipation, irritation in anus, pain during bowel movements, pain in anal region"
Drug Reaction,"burning micturition, itching, skin rash, spotting  urination, stomach pain"
Fungal infection,"dischromic  patches, itching, nodal skin eruptions, skin rash"
GERD,"acidity, chest pain, cough, stomach pain, ulcers on tongue, vomiting"
Gastroenteritis,"abdominal cramps and pain, dehydration, diarrhea, diarrhoea, fever, low-grade fever, nausea, nausea., occasional muscle aches or headache, stomach cramps, sunken eyes, vomiting, watery diarrhea"
Heart attack,"breathlessness, chest pain, sweating, vomiting"
Hepatitis B,"abdominal pain, dark urine, fatigue, itching, jaundice, lethargy, loss of appetite, loss of appetite., malaise, receiving blood transfusion, receiving unsterile injections, yellow urine, yellowing of eyes, yellowish skin"
Hepatitis C,"family history, fatigue, loss of appetite, nausea, yellowing of eyes, yellowish skin"
Hepatitis D,"abdominal pain, dark urine, fatigue, joint pain, loss of appetite, nausea, vomiting, yellowing of eyes, yellowish skin"
Hepatitis E,"abdominal pain, acute liver failure, coma, dark urine, fatigue, high fever, joint pain, loss of appetite, nausea, stomach bleeding, vomiting, yellowing of eyes, yellowish skin"
Hypertension ,"chest pain, dizziness, headache, lack of concentration, loss of balance"
Hyperthyroidism,"abnormal menstruation, diarrhoea, excessive hunger, fast heart rate, fatigue, increased appetite, irritability, irritability., mood swings, muscle weakness, rapid heartbeat, restlessness, sweating, weight loss"
Hypoglycemia,"anxiety, blurred and distorted vision, drying and tingling lips, excessive hunger, fatigue, headache, irritability, nausea, palpitations, slurred speech, sweating, vomiting"
Hypothyroidism,"abnormal menstruation, brittle nails, cold hands and feets, cold intolerance, constipation, depression, dizziness, dry skin, enlarged thyroid, fatigue, hair loss., irritability, lethargy, mood swings, puffy face and eyes, swollen extremeties, weight gain"
Impetigo,"blister, high fever, red sore around nose, skin rash, yellow crust ooze"
Jaundice,"abdominal pain, dark urine, fatigue, high fever, itching, vomiting, weight loss, yellowish skin"
Malaria,"chills, diarrhoea, fever, headache, high fever, muscle pain, nausea, sweating, vomiting, vomiting."
Migraine,"acidity, blurred and distorted vision, depression, excessive hunger, headache, indigestion, intense headache, irritability, nausea, sensitivity to light and sound, stiff neck, visual disturbances, vomiting"
Osteoarthristis,"hip joint pain, joint pain, knee pain, neck pain, painful walking, swelling joints"
Paralysis (brain hemorrhage),"altered sensorium, headache, vomiting, weakness of one body side"
Peptic ulcer diseae,"abdominal pain, indigestion, internal itching, loss of appetite, passage of gases, vomiting"
Pneumonia,"breathlessness, chest pain, chest pain when breathing or coughing, chest pain., chills, confusion or changes in mental awareness, cough, cough with phlegm, fast heart rate, fatigue, fever, high fever, lower than normal body temperature, malaise, nausea, phlegm, rusty sputum, shortness of breath, sweating, sweating and shaking chills, vomiting or diarrhea"
Psoriasis,"dry skin, inflammatory nails, itching, joint pain, pain, red patches of skin, silver like dusting, skin peeling, skin rash, small dents in nails, thickened nails."
Tuberculosis,"blood in sputum, breathlessness, chest pain, chills, cough, fatigue, high fever, loss of appetite, malaise, mild fever, phlegm, sweating, swelled lymph nodes, vomiting, weight loss, yellowing of eyes"
Typhoid,"abdominal pain, belly pain, chills, constipation, diarrhoea, fatigue, headache, high fever, nausea, toxic look (typhos), vomiting"
Urinary tract infection,"bladder discomfort, burning micturition, continuous feel of urine, foul smell of urine"
Varicose veins,"bruising, cramps, fatigue, obesity, prominent veins on calf, swollen blood vessels, swollen legs"
hepatitis A,"abdominal pain, dark urine, diarrhoea, joint pain, loss of appetite, mild fever, muscle pain, nausea, vomiting, yellowing of eyes, yellowish skin"
Influenza (Flu),"chills, cough, fatigue, fatigue., fever, headaches, muscle aches, muscle or body aches, runny or stuffy nose, sore throat"
COVID-19,"aches and pains, cough, diarrhea, difficulty breathing, dry cough, fatigue., fever, headache, loss of taste or smell, nausea, runny nose, sore throat, tiredness, vomiting"
Tuberculosis (TB),"fatigue, fever., night sweats, persistent cough, weight loss"
Dengue Fever,"high fever, joint and muscle pain, pain behind the eyes, rash., severe headache"
Cholera,"dehydration, diarrhea, low blood pressure., muscle cramps, rapid heart rate"
Meningitis,"fever, nausea, sensitivity to light., severe headache, stiff neck"
Asthma,"chest tightness or pain, chest tightness., coughing, coughing or wheezing attacks, shortness of breath, trouble sleeping due to shortness of breath, wheezing, wheezing when exhaling"
Chickenpox,"fever, itchy rash, loss of appetite., tiredness"
Typhoid Fever,"headache, high fever, loss of appetite., stomach pain, weakness"
Ebola Virus,"bleeding., fever, headache, muscle pain, vomiting"
Zika Virus,"fever, joint pain, muscle pain., rash, red eyes"
Leprosy (Hansen's Disease),"muscle weakness, nerve damage, numbness in affected areas., skin sores"
Celiac Disease,"anemia., bloating, diarrhea, fatigue, weight loss"
Rheumatoid Arthritis,"fatigue, joint pain, stiffness, swelling, weight loss."
Lyme Disease,"fatigue, fever, headache, rash (bullseye pattern)."
Parkinson's Disease,"balance issues., muscle stiffness, slowed movement, speech problems, tremors"
Appendicitis,"abdominal pain, fever., loss of appetite, nausea, vomiting"
Bronchitis,"chest discomfort, chest discomfort., cough, cough with mucus, fatigue, production of mucus, shortness of breath, slight fever, slight fever and chills"
Chronic Obstructive Pulmonary Disease (COPD),"chronic cough, frequent respiratory infections., shortness of breath, wheezing"
Diabetes Mellitus Type 1,"blurred vision., excessive thirst, fatigue, frequent urination, weight loss"
Diabetes Mellitus Type 2,"blurred vision, fatigue, frequent urination, increased hunger, slow healing wounds."
Gout,"inflammation., intense joint pain, limited range of motion, redness, swelling"
Hypertension (High Blood Pressure),"but severe cases may include headaches, chest pain, dizziness, headaches, nosebleeds, nosebleeds., often no symptoms, shortness of breath, visual changes"
Irritable Bowel Syndrome (IBS),"abdominal pain, bloating, constipation., diarrhea, gas"
Kidney Stones,"blood in urine, frequent urination., nausea, severe pain in the back or side, vomiting"
Osteoarthritis,"bone spurs., joint pain, loss of flexibility, stiffness, swelling"
Cataracts,"blurred vision, difficulty seeing at night., faded colors, sensitivity to light"
Macular Degeneration,"blurred or reduced central vision, difficulty recognizing faces, visual distortions."
Peptic Ulcer Disease,"bloating, burning stomach pain, fatty food intolerance., heartburn, nausea"
Fibromyalgia,"fatigue, memory issues, mood changes., sleep disturbances, widespread muscle pain"
Lupus,"butterfly-shaped facial rash, fatigue, fever, hair loss., joint pain"
Multiple Sclerosis,"coordination issues, fatigue., numbness, vision problems, weakness"
Parkinsonism,"balance issues, changes in speech., slowed movements, stiffness, tremors"
Alzheimer's Disease,"confusion, difficulty with planning, memory loss, mood swings."
Crohn's Disease,"abdominal pain, anemia., diarrhea, fatigue, weight loss"
Cystic Fibrosis,"lung infections, persistent cough with mucus, salty sweat., shortness of breath"
Polio,"fever, muscle weakness, paralysis in severe cases., sore throat"
Shingles (Herpes Zoster),"blisters, fever, headache., itching, painful rash"
Epilepsy,"confusion, seizures, staring spells, uncontrollable jerking movements."
Hemophilia,"easy bruising, excessive bleeding, joint pain, nosebleeds, prolonged bleeding."
HIV,"chills, fatigue, fever, muscle aches, swollen lymph nodes., weight loss"
Chikungunya,"headache., high fever, joint pain, muscle pain, rash"
Rabies,"confusion., excess salivation, fever, headache, muscle spasms, paralysis"
Anthrax,"cough., fever, muscle aches, shortness of breath, skin sores"
Tetanus,"jaw cramping, muscle spasms, seizures., trouble swallowing"
Botulism,"blurred vision, difficulty swallowing, muscle weakness, slurred speech."
Hantavirus,"cough, fatigue, fever, muscle aches, shortness of breath."
West Nile Virus,"body aches, diarrhea., fever, headache, joint pain, vomiting"
Yellow Fever,"chills, fever, headache, jaundice., nausea"
Marburg Virus,"bleeding., diarrhea, high fever, muscle pain, severe headache"
Leptospirosis,"headache, high fever, jaundice., muscle pain, red eyes"
Syphilis,"fever, muscle aches., painless sores, skin rashes, swollen lymph nodes"
Gonorrhea,"abnormal discharge, pain in testicles, painful urination, pelvic pain."
Chlamydia,"abdominal pain, bleeding between periods., discharge, painful urination"
Trichomoniasis,"burning during urination, discomfort., itching, vaginal discharge"
Toxoplasmosis,"blurred vision., flu-like symptoms, muscle aches, swollen lymph nodes"
Mumps,"fatigue., fever, headache, muscle aches, swollen salivary glands"
Measles,"cough, fever, rash., red eyes, runny nose"
Rubella (German Measles),"aching joints., headache, mild fever, rash, swollen lymph nodes"
Whooping Cough (Pertussis),"difficulty breathing, severe coughing fits, vomiting after coughing."
Scarlet Fever,"fever, red lines, red rash, sore throat, strawberry-like tongue."
Rocky Mountain Spotted Fever,"fever, headache, muscle pain., nausea, rash, vomiting"
Legionnaires' Disease,"cough, headache., high fever, muscle aches, shortness of breath"
Type 2 Diabetes,"blurred vision, fatigue, frequent urination, increased hunger, increased thirst, slow-healing sores, unintended weight loss"
Allergies,"congestion, itchy and watery eyes, itchy nose, itchy roof of mouth or throat, runny nose, sneezing"
Gastroesophageal Reflux Disease (GERD),"chest pain, difficulty swallowing, heartburn, regurgitation of food or sour liquid, sensation of a lump in the throat"
Urinary Tract Infection (UTI),"burning sensation when urinating, cloudy urine, passing frequent, pelvic pain, persistent urge to urinate, red or bright pink urine, small amounts of urine, strong, strong-smelling urine"
Sinusitis,"cheeks, cough, drainage down the back of the throat, fatigue, nasal inflammation, nasal obstruction or congestion, nose or forehead, pain or tenderness around eyes, reduced sense of smell and taste, thick nasal discharge"
Otitis Media (Ear Infection),"diminished hearing, drainage of fluid from the ear, ear pain, fever, irritability in infants and young children"
Conjunctivitis (Pink Eye),"a discharge in one or both eyes that forms a crust during the night, a gritty feeling in one or both eyes, itchiness in one or both eyes, redness in one or both eyes, tearing"
Dermatitis,"blisters, burning or tenderness, dry skin, flaky skin, itching, rash, swelling"
Obesity,"body mass index (bmi) of 30 or higher, excess body fat accumulation, joint problems, larger waist circumference, shortness of breath, sleep apnea, sweating"
Depression,"anxious, appetite and/or weight changes, decreased energy or fatigue, difficulty concentrating, feelings of hopelessness, insomnia or oversleeping, irritability, loss of interest in hobbies and activities, or ""empty"" mood, persistent sad, thoughts of death or suicide"
